Test_Date,Device_Name,Brand,Model,Category,Price_USD,Battery_Life_Hours,Heart_Rate_Accuracy_Percent,Step_Count_Accuracy_Percent,Sleep_Tracking_Accuracy_Percent,Water_Resistance_Rating,User_Satisfaction_Rating,GPS_Accuracy_Meters,Connectivity_Features,Health_Sensors_Count,App_Ecosystem_Support,Performance_Score
6/1/2025,Fitbit Inspire 4,Fitbit,Inspire 4,Fitness Tracker,141.74,129.9,89.69,93.03,78.91,3ATM,6.5,,"Bluetooth, WiFi",5,Cross-platform,68.4
6/1/2025,Apple Watch SE 3,Apple,Watch SE 3,Smartwatch,834.64,26.5,95.92,98.2,79.76,IP68,8.3,4.9,"WiFi, Bluetooth, NFC",8,iOS,60.1
6/1/2025,Fitbit Versa 4,Fitbit,Versa 4,Sports Watch,145.34,161.2,92.24,96.81,74.49,IPX8,6,1.7,Bluetooth,7,Cross-platform,59.3
6/1/2025,Polar Vantage V3,Polar,Vantage V3,Smartwatch,349.53,69.4,96.77,95.56,78.06,IP68,8,3.2,"WiFi, Bluetooth, NFC, LTE",12,Cross-platform,61
6/1/2025,Samsung Galaxy Watch FE,Samsung,Galaxy Watch FE,Smartwatch,502.43,39.7,92.27,98.15,75.23,IPX8,8.3,1.6,"WiFi, Bluetooth, NFC, LTE",14,Android/iOS,61.2
6/1/2025,Garmin Forerunner 965,Garmin,Forerunner 965,Smartwatch,402.32,287.4,92.85,99.34,77.58,5ATM,8.1,2.3,"WiFi, Bluetooth, NFC, LTE",11,Cross-platform,63.6
6/1/2025,Withings ScanWatch 2,Withings,ScanWatch 2,Sports Watch,235.64,219.2,96.41,94.22,79.07,5ATM,7.2,3.4,Bluetooth,9,Cross-platform,61.3
6/1/2025,Garmin Fenix 8,Garmin,Fenix 8,Smartwatch,897.85,589.9,93.65,99.27,75.23,5ATM,9,4.6,"WiFi, Bluetooth, NFC",14,Cross-platform,63.3
6/1/2025,Samsung Galaxy Watch Ultra,Samsung,Galaxy Watch Ultra,Smartwatch,318.18,36.4,92.33,96.83,82.94,5ATM,8.2,3.7,"WiFi, Bluetooth, NFC, LTE",15,Android/iOS,60.6
6/1/2025,WHOOP 4.0,WHOOP,4,Fitness Band,30,120.7,91.48,94.79,73.71,IPX4,6.1,,Bluetooth,3,Android/iOS,67.1
6/1/2025,Oura Ring Gen 4,Oura,Ring Gen 4,Smart Ring,415.05,178.3,89.34,93.41,89.56,IPX7,8.7,,Bluetooth,5,Android/iOS,75.9
6/1/2025,Fitbit Versa 4,Fitbit,Versa 4,Smartwatch,298.29,52.5,93.18,94.83,83.07,IP68,7.2,3,"WiFi, Bluetooth, NFC, LTE",8,Cross-platform,59.6
6/1/2025,Apple Watch Ultra 2,Apple,Watch Ultra 2,Smartwatch,756.15,26.1,92.68,96.44,81.79,IP68,9.2,3.6,"WiFi, Bluetooth, NFC, LTE",11,iOS,61.9
